source,translation,category,status,notes
学園アイドルマスター,学园偶像大师,content,confirmed,"官方作品名。日文简称「学マス」；「学马仕」只作项目内部简称,不作为正式译名"
プロデューサー,学P,character,confirmed,"P 角色的固定称呼,已在 style-guide.md §6.2 锁定。对话中角色以名字称呼时可用「制作人」"
花海咲季,花海咲季,character,confirmed,"日文:花海 咲季(はなみ さき)。CV:长月葵。初星学园 1 年 1 组。Re;IRIS 成员"
月村手毬,月村手毬,character,confirmed,"日文:月村 手毬(つきむら てまり)。CV:小鹿奈绪。初星学园 1 年 1 组。SyngUp! 前成员;Re;IRIS 成员"
藤田ことね,藤田琴音,character,confirmed,"日文原名以平假名「ことね」(こと=琴,ね=音)。CV:饭田光。GameKee 与部分 B 站 UP 主(如学园偶像大师同好会、Anna__P)采用此译名。Re;IRIS 成员。本项目内统一使用,见 translation-decisions.md"
姫崎莉波,姬崎莉波,character,confirmed,"日文:姫崎 莉波(ひめさき りなみ)。CV:薄井友里。B 站主流译法。少量硬核向标题保留「姫崎莉波」日文原字,作为可接受变体"
紫雲清夏,紫云清夏,character,confirmed,"日文:紫雲 清夏(しをん すみか)。CV:凑美也"
篠澤広,篠泽广,character,confirmed,"日文:篠澤 広(しのさわ ひろ)。CV:川村玲奈"
葛城リーリヤ,葛城莉莉娅,character,confirmed,"日文:葛城 リーリヤ(かつらぎ Lilja)。CV:花岩香奈。混血设定,名 Lilja 源自北欧"
倉本千奈,仓本千奈,character,confirmed,"日文:倉本 千奈(くらもと ちな)。CV:伊藤舞音"
有村麻央,有村麻央,character,confirmed,"日文:有村 麻央(ありむら まお)。CV:七濑䌷(七瀬つむぎ)"
花海佑芽,花海佑芽,character,confirmed,"日文:花海 佑芽(はなみ うめ)。CV:松田彩音。咲季的妹妹"
秦谷美鈴,秦谷美铃,character,confirmed,"日文:秦谷 美鈴(はたや みすず)。CV:春咲暖。SyngUp! 前成员"
十王星南,十王星南,character,confirmed,"日文:十王 星南(じゅうおう せな)。CV:阳高真白。学园长十王邦夫之女"
雨夜燕,雨夜燕,character,confirmed,"日文:雨夜 燕(あまや つばめ)。CV:天音由香里。非培育担当"
賀陽燐羽,贺阳燐羽,character,confirmed,"日文:賀陽 燐羽。CV:浅见香月。SyngUp! 前成员,后转入極月学園,现回归。B 站中文圈约 40+ 次出现,未见「凛羽/琳羽/加阳」变体"
藍井撫子,蓝井抚子,character,probable,"極月学園四人组之一。中文名来自百度贴吧「学园偶像大师极月学园」帖,单源确认;萌娘百科单页尚未建"
白草四音,白草四音,character,probable,"極月学園四人组之一。NGA 提到为「偶像之路(爬塔)终极反派」。中文名来自百度贴吧,单源确认"
白草月花,白草月花,character,probable,"極月学園四人组之一。与白草四音同姓,推测为姐妹。中文名来自百度贴吧,单源确认"
十王邦夫,十王邦夫,character,confirmed,"初星学園学园长。CV:大冢明夫。十王星南之祖父"
根緒亜紗里,根绪亚纱里,character,confirmed,"班主任(1 年 1 组)。CV:古贺葵。S 卡属性「辅助/アシスト」"
真城優,真城优,character,confirmed,"初星学園广播部部长。CV:村田绫香。「初星学園放送部」广播剧主持"
黒井崇男,黑井崇男,character,probable,"極月学園校长。原「偶像大师」系列 961 事务所社长,长期反派。在学マス中作为对手学园的教职人员出场"
Voトレーナー,歌唱训练员,character,confirmed,"CV:田中美海。也可简称「Vo 训练员」"
Daトレーナー,舞蹈训练员,character,confirmed,"CV:若井友希。也可简称「Da 训练员」"
Viトレーナー,视觉表现训练员,character,confirmed,"CV:芹泽优。也可简称「Vi 训练员」;个别来源作「形象训练员」"
初星学園,初星学园,group,confirmed,"作品主舞台。初、中、高、职业学院一体的私立学园,是日本最大的偶像培育学校"
極月学園,极月学园,group,confirmed,"敌对学园。「極月」为日文中 12 月的异称、冬之季语,与「初星」(新年季语)成对"
SyngUp!,SyngUp!,group,confirmed,"保留原文,不中文化。已在 translation-decisions.md 锁定。手毬、美铃、燐羽的中等部时期组合。「震升!」「声扬!」等中文化尝试一律不采用"
Re;IRIS,Re;IRIS,group,confirmed,"保留原文。花海咲季、月村手毬、藤田琴音三人组合。官方发布过「Story of Re;IRIS」中文字幕系列(11.7 万播放,偶像大师官方账号)"
H.I.F,H.I.F,content,confirmed,"保留原文。全称 Hatsuboshi IDOL FESTIVAL(初星 IDOL FESTIVAL)。游戏内大型活动/剧本篇章;含「选拔试验(選抜試験)」阶段。也出现于 B 站官方 PV 标题"
NIA,N.I.A,content,confirmed,"全称 NEXT IDOL AUDITION。培育剧本篇章,含 QUARTET / FINALE 等最终试镜阶段。B 站标题多写作「N.I.A」,贴吧攻略也写作「nia」"
初星,初星,content,confirmed,"作品前缀词,保留原文。用于「初星学園」「初星水」「初星乳清蛋白」等命名。定期公演曲名亦为『初』"
Story of Re;IRIS,Story of Re;IRIS,content,confirmed,"保留原文。B 站偶像大师官方账号发布的中文字幕系列(11.7 万播放)"
センス,感性,system,confirmed,"三大培育计划类型之一,含义为 sense/sensibility。萌娘百科、GameKee、NGA、九游一致"
ロジック,理性,system,probable,"三大培育计划类型之一,英文 Logic。萌娘百科采「理性」(与「感性」形成对偶);NGA/GameKee/九游中「理性」「逻辑」并存,后者更贴合英文直译。推荐用「理性」保持与「感性」的对偶,「逻辑」作可接受变体"
アノマリー,非凡,system,probable,"三大培育计划类型之一,英文 Extraordinary/Anomaly。萌娘百科译「非凡」;别处偶见音译「阿诺马丽」不采纳"
ボーカル,歌唱,system,confirmed,"三大属性之一,简称 Vo。中英文语料中「Vo」直接保留"
ダンス,舞蹈,system,confirmed,"三大属性之一,简称 Da"
ビジュアル,视觉表现,system,probable,"三大属性之一,简称 Vi。萌娘百科作「视觉表现」;另见「形象」的译法,视上下文选用较短形式"
アシスト,辅助,system,confirmed,"S 卡属性之一(与 Vo/Da/Vi 并列)"
プロデュース,培育,system,probable,"游戏核心玩法名。gakumas.cn 汉化站主页作「培育」;萌娘百科作「偶像育成」。推荐用「培育」以保持简短"
Pカード,P 卡,system,confirmed,"培育卡(育成卡),角色本卡"
Sカード,S 卡,system,confirmed,"支援卡(support 卡)"
好調,好调,system,confirmed,"正面状态。同调符号系,给予属性加成"
絶好調,绝好调,system,confirmed,"「好調」的强化状态"
集中,集中,system,confirmed,"正面状态。附加属性到指定行动。中日字形相同"
好印象,好印象,system,confirmed,"正面状态。中日字形相同"
やる気,有干劲,system,probable,"正面状态。也见「干劲」的简短译法"
熱意,热忱,system,probable,"正面状态"
不調,状态不佳,system,probable,"负面状态。也见直译「不调」"
スランプ,萎靡,system,probable,"负面状态(slump)"
気まぐれ,浮躁,system,probable,"负面状态"
弱気,胆怯,system,probable,"负面状态"
強気,坚决,system,probable,"非凡专属机制,含义偏「强势/坚定」"
好感度,好感度,system,confirmed,"角色好感度系统。中日字形相同。历史上偶像大师系列曾用「亲密度」「亲爱度」,学マス优先采「好感度」(萌娘百科用法)"
親愛度,亲爱度,system,probable,"作为「好感度」的同义词/剧情类型名。「亲爱度剧情」在 B 站与二创圈中使用广泛(如「亲爱度コミュ妄想 SS」),与「好感度剧情」并存。作为剧情类型时保留「亲爱度」表达"
才能,才能,system,confirmed,"作品核心概念,十王星南特技为「看出偶像才能」。中日字形相同"
ジュエル,宝石,system,confirmed,"付费货币。B 站攻略与 wiki 一致"
マニー,金钱,system,confirmed,"游戏内非付费货币。也见「Money/マネー」写法"
Pポイント,P 点数,system,confirmed,"培育中的行动资源"
AP,AP,system,confirmed,"活动点数(action point)。保留字母缩写"
コミュ,剧情,system,confirmed,"游戏内剧情单元(communication)的简称。角色好感度剧情、卡剧情、活动剧情均用此词"
ガシャ,扭蛋,system,confirmed,"抽卡系统。含「プラチナガシャ」白金扭蛋、「フレンドガシャ」好友扭蛋等"
コンテスト,比赛,system,probable,"PvP 玩法。也见「竞技场」的意译"
アイドルへの道,偶像之路,content,confirmed,"通称「爬塔」。塔式挑战玩法。是 NGA 与贴吧攻略讨论中的常见术语"
